stabbr,agebrk,wtdn,rtax,popgroup,totpop,share2010,share2020,share2030,share2040,tax2010,tax2020,tax2030,tax2040
NE,"(29,34]",256825.57,1266.1339669526674,30to34,3740869.15,0.06356972766860076,0.06615004554399403,0.060559455079426575,0.06681405440483842,301094296.06604403,313315820.7258376,286836316.0581794,316460859.84854424
NE,"(34,39]",222727.91,1815.9284727600145,35to39,3740869.15,0.060427379114853144,0.06720360522240791,0.06224829535352527,0.06344710570555771,410492298.9182474,456524224.73771894,422862057.52600336,431005757.03078353
NE,"(39,44]",230306.17,1688.9737452613188,40to44,3740869.15,0.06049089408823435,0.05996096066486143,0.06315012782015081,0.05866651859292694,382195368.37500465,378847127.2386642,398997018.12881005,370668544.7928257
NE,"(44,49]",211965.94,1492.0096245256666,45to49,3740869.15,0.07035433142003601,0.05621720789391993,0.06327817434602737,0.05947755449500759,392676564.22706914,313771442.3640535,353181610.7299847,331968782.5371975
NE,"(49,54]",263554.45,1801.5657272774563,50to54,3740869.15,0.07130924619224997,0.055557900820379376,0.05573785633241318,0.05956898296107195,480583077.69523644,374428119.6657279,375640915.73972183,401460493.4881276
NE,"(54,59]",259662.8,1663.0401551571501,55to59,3740869.15,0.06443813066672653,0.06350853541264817,0.05136134454130578,0.05866584423975272,400883504.4886469,395100291.98146945,319529998.49512035,364972866.0543079
NE,"(59,64]",213259.32,1560.7272009075148,60to64,3740869.15,0.052284869035957686,0.062245618173574234,0.049083398121964605,0.04996930712119236,305263965.44414186,363419562.59122473,286572253.58793545,291744612.2284616
NE,"(64,69]",168111.88999999998,1411.5543215833814,65to69,3740869.15,0.03768956618725638,0.053496926015034474,0.052778236011056814,0.04361140764030633,199017493.44922686,282487308.8178661,278692309.3623667,230287422.0213477
NE,"(69,74]",133680.8,906.7108342989419,70to74,3740869.15,0.029727197713898992,0.042192540899801914,0.05028116350165602,0.0405109197386686,100831283.22458854,143112313.59166577,170548004.11028573,137408445.32912126
NE,"(74,79]",87733.45,519.917888055126,75to79,3740869.15,0.02542515335307043,0.02863325024288691,0.040683210397956956,0.04100928588597012,49450519.4971018,55690090.82221648,79126598.02092846,79760796.84182072
NE,"(79,84]",69880.47,554.1035175348705,80to84,3740869.15,0.02070150097928043,0.019349204190833278,0.027490440247908175,0.03347281833845116,42910666.49432311,40107586.82640538,56982975.023925446,69383420.35120714
NE,"(84,1e+09]",71110.34,195.85259800290646,85+,3740869.15,0.021522815290244263,0.02226497094846296,0.023143286260939554,0.03073879919101068,15768883.07546072,16312630.054674303,16956135.622094564,22521056.087993447
NH,"(-1,4]",121517.7,0,00to04,2612507.09,0.053025135399971134,0.04998298700975888,0.0496837034796088,0.04787293228088625,0,0,0,0
NH,"(4,9]",138859.27,0,05to09,2612507.09,0.059064012092945525,0.05555863962320975,0.05540104503348752,0.05453219138906699,0,0,0,0
NH,"(9,14]",160445.36,0,10to14,2612507.09,0.06427795544144568,0.056076055566850094,0.05436889828012005,0.055868890600142565,0,0,0,0
NH,"(14,19]",172372.89,0.529252236822159,15to19,2612507.09,0.07111441962217141,0.059975542685463144,0.05802771915588146,0.05981768674360829,98328.14587421733,82926.6967429903,80233.48941356948,82708.43324368479
NH,"(19,24]",200802.49,0.4021742957470299,20to24,2612507.09,0.0642217445137375,0.05709615286752886,0.051233603727481085,0.051351808137816826,67476.70797457841,59989.968548581244,53830.28666349946,53954.48205149341
NH,"(24,29]",167464.25,10.453661202196887,25to29,2612507.09,0.05554323303987178,0.06016584680346606,0.05219143104582378,0.05220213664397192,1516900.3581321815,1643145.1604192453,1425361.7607748804,1425654.1334866611
NH,"(29,34]",142096.52,21.838486235764254,30to34,2612507.09,0.054198728417662385,0.06443089589057888,0.058918485293114,0.05465468449168055,3092210.898976858,3675988.7975298795,3361488.1325371265,3118224.6521163913
NH,"(34,39]",142226.74,49.995897568206935,35to39,2612507.09,0.06240324504166445,0.05984748128929593,0.06668027940152195,0.05979630416949034,8150777.190492736,7816957.036057097,8709420.480276858,7810272.555137747
NH,"(39,44]",149736.39,92.091906583029,40to44,2612507.09,0.07370164151101051,0.05534287711051488,0.0676705117588419,0.06397121863258025,17731933.86181958,13314984.802609231,16280899.77784291,15390884.037276862
NH,"(44,49]",174235.76,102.47232422488929,45to49,2612507.09,0.08626402424665963,0.060920169586866094,0.06009418675601663,0.0692168379782609,23093713.77158881,16308918.71370368,16087795.119685601,18530017.100451842
NH,"(49,54]",232156.67,84.33350537320335,50to54,2612507.09,0.08537756272455886,0.07045007990165851,0.05441250467432149,0.06878032209201296,18810545.190085553,15521694.100247374,11988265.36409955,15153809.919292638
